DATE,GDP
1981-10-01,3280.818
1982-01-01,3274.302
1982-04-01,3331.972
1982-07-01,3366.322
1982-10-01,3402.561
1983-01-01,3473.413
1983-04-01,3578.848
1983-07-01,3689.179
1983-10-01,3794.706
1984-01-01,3908.054
1984-04-01,4009.601
1984-07-01,4084.25
1984-10-01,4148.551
1985-01-01,4230.168
1985-04-01,4294.887
1985-07-01,4386.773
1985-10-01,4444.094
1986-01-01,4507.894
1986-04-01,4545.34
1986-07-01,4607.669
1986-10-01,4657.627
1987-01-01,4722.156
1987-04-01,4806.16
1987-07-01,4884.555
1987-10-01,5007.994
1988-01-01,5073.372
1988-04-01,5190.036
1988-07-01,5282.835
1988-10-01,5399.509
1989-01-01,5511.253
1989-04-01,5612.463
1989-07-01,5695.365
1989-10-01,5747.237
1990-01-01,5872.701
1990-04-01,5960.028
1990-07-01,6015.116
1990-10-01,6004.733
1991-01-01,6035.178
1991-04-01,6126.862
1991-07-01,6205.937
1991-10-01,6264.54
1992-01-01,6363.102
1992-04-01,6470.763
1992-07-01,6566.641
1992-10-01,6680.803
1993-01-01,6729.459
1993-04-01,6808.939
1993-07-01,6882.098
1993-10-01,7013.738
